rule_name,severity,affected_user,source_ip,timestamp,explanation,recommended_action
Brute Force Login,Critical,user8,139.252.80.19,2026-03-28 14:45:24.031276,User user8 had 6 failed logins followed by a successful login.,Reset user password and block source IP.
Brute Force Login,Critical,user16,16.97.41.246,2026-03-28 13:16:24.031276,User user16 had 7 failed logins followed by a successful login.,Reset user password and block source IP.
Brute Force Login,Critical,user18,17.117.4.133,2026-03-28 11:28:24.031276,User user18 had 5 failed logins followed by a successful login.,Reset user password and block source IP.
Brute Force Login,Critical,user11,161.1.67.42,2026-03-28 09:40:24.031276,User user11 had 7 failed logins followed by a successful login.,Reset user password and block source IP.
Brute Force Login,Critical,admin1,156.220.21.10,2026-03-28 08:14:24.031276,User admin1 had 5 failed logins followed by a successful login.,Reset user password and block source IP.
Brute Force Login,Critical,user6,58.56.204.239,2026-03-28 05:47:24.031276,User user6 had 8 failed logins followed by a successful login.,Reset user password and block source IP.
Brute Force Login,Critical,user2,34.238.255.192,2026-03-27 23:04:24.031276,User user2 had 5 failed logins followed by a successful login.,Reset user password and block source IP.
Brute Force Login,Critical,user4,141.207.101.52,2026-03-27 22:14:24.031276,User user4 had 7 failed logins followed by a successful login.,Reset user password and block source IP.
Brute Force Login,Critical,user17,154.45.103.120,2026-03-27 16:12:24.031276,User user17 had 7 failed logins followed by a successful login.,Reset user password and block source IP.
Brute Force Login,Critical,user15,101.126.134.27,2026-03-27 15:47:24.031276,User user15 had 9 failed logins followed by a successful login.,Reset user password and block source IP.
Brute Force Login,Critical,user3,179.99.89.37,2026-03-27 15:00:24.031276,User user3 had 18 failed logins followed by a successful login.,Reset user password and block source IP.
Brute Force Login,Critical,user7,180.31.52.35,2026-03-27 12:45:24.031276,User user7 had 5 failed logins followed by a successful login.,Reset user password and block source IP.
Brute Force Login,Critical,user13,66.44.140.42,2026-03-27 06:21:24.031276,User user13 had 5 failed logins followed by a successful login.,Reset user password and block source IP.
Brute Force Login,Critical,admin2,74.74.31.36,2026-03-27 05:01:24.031276,User admin2 had 6 failed logins followed by a successful login.,Reset user password and block source IP.
Brute Force Login,Critical,user5,75.238.44.162,2026-03-26 11:27:24.031276,User user5 had 7 failed logins followed by a successful login.,Reset user password and block source IP.
Brute Force Login,Critical,user12,83.5.43.123,2026-03-26 04:00:24.031276,User user12 had 7 failed logins followed by a successful login.,Reset user password and block source IP.
Brute Force Login,Critical,user1,59.20.69.65,2026-03-25 10:37:24.031276,User user1 had 6 failed logins followed by a successful login.,Reset user password and block source IP.
Impossible Travel,High,user4,115.220.3.243,2026-03-28 16:11:24.031276,Login from CA just 1.9 hours after login from IN.,Investigate user location and enforce MFA.
Impossible Travel,High,user8,168.46.252.245,2026-03-28 15:19:24.031276,Login from US just 5.3 hours after login from CA.,Investigate user location and enforce MFA.
Brute Force Login,High,user14,181.143.242.174,2026-03-28 15:00:24.031276,User user14 had 9 failed logins.,Reset user password and block source IP.
Impossible Travel,High,user19,214.2.190.164,2026-03-28 14:48:24.031276,Login from CA just 6.2 hours after login from US.,Investigate user location and enforce MFA.
Brute Force Login,High,user9,152.101.183.16,2026-03-28 14:33:24.031276,User user9 had 7 failed logins.,Reset user password and block source IP.
Impossible Travel,High,user4,179.204.102.199,2026-03-28 14:15:24.031276,Login from IN just 0.3 hours after login from US.,Investigate user location and enforce MFA.
Impossible Travel,High,user4,171.87.17.182,2026-03-28 13:55:24.031276,Login from US just 6.3 hours after login from UK.,Investigate user location and enforce MFA.
Impossible Travel,High,admin2,136.31.243.185,2026-03-28 12:34:24.031276,Login from US just 1.8 hours after login from CA.,Investigate user location and enforce MFA.
Impossible Travel,High,admin2,9.136.7.124,2026-03-28 10:45:24.031276,Login from CA just 1.7 hours after login from US.,Investigate user location and enforce MFA.
Impossible Travel,High,user8,95.18.118.17,2026-03-28 10:03:24.031276,Login from CA just 2.2 hours after login from US.,Investigate user location and enforce MFA.
Impossible Travel,High,user9,50.27.175.138,2026-03-28 10:00:24.031276,Login from US just 1.8 hours after login from IN.,Investigate user location and enforce MFA.
Impossible Travel,High,user17,212.98.223.228,2026-03-28 09:18:24.031276,Login from US just 6.4 hours after login from IN.,Investigate user location and enforce MFA.
Impossible Travel,High,user12,141.34.151.1,2026-03-28 09:07:24.031276,Login from US just 10.6 hours after login from CA.,Investigate user location and enforce MFA.
Impossible Travel,High,user9,195.87.54.155,2026-03-28 08:12:24.031276,Login from IN just 1.4 hours after login from US.,Investigate user location and enforce MFA.
Impossible Travel,High,user4,148.145.186.38,2026-03-28 07:37:24.031276,Login from UK just 6.0 hours after login from US.,Investigate user location and enforce MFA.
Impossible Travel,High,user10,165.235.128.173,2026-03-28 06:57:24.031276,Login from US just 5.6 hours after login from DE.,Investigate user location and enforce MFA.
