rule_name,severity,user_id,timestamp,description,recommendation,risk_score,risk_level
brute_force_attempt,Critical,user26,2026-03-28 15:53:13.477129,user26 had 11 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user16,2026-03-28 14:57:13.477129,user16 had 8 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,admin2,2026-03-28 11:09:13.477129,admin2 had 14 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user15,2026-03-28 09:33:13.477129,user15 had 12 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user28,2026-03-28 08:29:13.477129,user28 had 8 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user18,2026-03-28 02:52:13.477129,user18 had 17 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user6,2026-03-28 01:34:13.477129,user6 had 7 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user9,2026-03-27 22:33:13.477129,user9 had 9 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user7,2026-03-27 20:56:13.477129,user7 had 11 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user5,2026-03-27 15:56:13.477129,user5 had 20 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user13,2026-03-27 15:35:13.477129,user13 had 15 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user25,2026-03-27 15:29:13.477129,user25 had 5 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user14,2026-03-27 13:30:13.477129,user14 had 6 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user4,2026-03-27 12:51:13.477129,user4 had 9 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
brute_force_attempt,Critical,user23,2026-03-27 09:18:13.477129,user23 had 6 failed logins followed by a successful one.,Reset credentials and block source IP immediately.,100,High
